year,population
2023,8045311447
2022,7975105156
2021,7909295151
2020,7840952880
2019,7764951032
2018,7683789828
2017,7599822404
2016,7513474238
2015,7426597537
2014,7339013419
2013,7250593370
2012,7161697921
2011,7073125425
2010,6985603105
2009,6898305908
2008,6811597272
2007,6725948544
2006,6641416218
2005,6558176119
2004,6475751478
2003,6393898365
2002,6312407360
2001,6230746982
2000,6148898975
1999,6067758458
1998,5987312480
1997,5906481261
1996,5825145298
1995,5743219454
1994,5660727993
1993,5577433523
1992,5492686093
1991,5406245867
1990,5316175862
1989,5223704308
1988,5132293974
1987,5040984495
1986,4950063339
1985,4861730613
1984,4775836074
1983,4691884238
1982,4607984871
1981,4524627658
1980,4444007706
1979,4365582871
1978,4289657708
1977,4215772490
1976,4142505882
1975,4069437231
1974,3995517077
1973,3920251504
1972,3844800885
1971,3770163092
1970,3695390336
1969,3620655275
1968,3546810808
1967,3475448166
1966,3406417036
1965,3337111983
1964,3267212338
1963,3195779247
1962,3126686743
1961,3068370609
1960,3019233434
1959,2970292188
1958,2916108097
1957,2857866857
1956,2801002631
1955,2746072141
1954,2691979339
1953,2640278797
1952,2590270899
1951,2543130380
1950,2499322157
